DateTimeEvent,TypeEvent
2024-02-03 14:01:50.268341,True
2024-02-03 14:01:52.255160,True
2024-02-03 14:01:53.213821,True
2024-02-03 14:01:53.750552,True
2024-02-03 14:02:14.602391,False
2024-02-03 14:02:15.095345,False
2024-02-03 14:02:15.247980,False
2024-02-03 14:02:15.416768,False
2024-02-03 14:02:45.818782,False
2024-02-03 14:03:33.165807,False
2024-02-03 14:04:30.408596,False
2024-02-03 14:04:56.774857,False
2024-02-03 14:05:05.237568,False
2024-02-03 14:12:02.482516,True
2024-02-03 14:12:02.938602,True
2024-02-03 14:12:03.101303,True
2024-02-03 14:12:03.279505,True
2024-02-03 14:12:04.583189,False
2024-02-03 14:12:05.230007,False
2024-02-03 14:12:05.811755,False
2024-02-03 14:12:06.311093,False
2024-02-03 14:12:06.831895,False
2024-02-03 14:13:06.447425,False
2024-02-03 14:13:07.477035,False
2024-02-03 14:13:08.297585,False
2024-02-03 14:13:09.078433,False
2024-02-03 14:19:24.791358,False
2024-02-03 14:19:28.738118,True
2024-02-03 14:19:29.441160,True
2024-02-03 14:19:30.003851,True
2024-02-03 14:19:33.161341,False
2024-02-03 14:19:33.720627,False
2024-02-03 14:19:34.092205,False
2024-02-03 14:29:36.050131,True
2024-02-03 14:31:46.731264,False
2024-02-03 14:36:35.857304,False
2024-02-03 14:41:06.275497,False
2024-02-03 14:41:18.521562,False
2024-02-03 14:41:22.060550,True
2024-02-03 14:42:58.601044,False
2024-02-03 18:35:03.964872,False
2024-02-03 18:35:07.231972,True
2024-02-03 18:35:09.793281,False
